N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,200",800,+1.14%,100,"4,250,485","5,969,783",51.79,"17,015,578",12.32,13.92,
2,SK하이닉스,"124,000","7,500",+6.44%,"5,000","902,723","728,002",50.33,"7,205,423",9.40,16.84,
3,LG에너지솔루션,"376,000","12,500",+3.44%,500,"879,840","234,000",2.90,"810,107",94.88,10.68,
4,NAVER,"344,500","14,000",+4.24%,100,"565,149","164,049",54.59,"1,068,077",3.43,106.72,
5,삼성바이오로직스,"815,000","11,000",-1.33%,"2,500","539,245","66,165",10.54,"62,874",138.65,8.21,
6,삼성전자우,"64,500","1,100",+1.74%,100,"530,762","822,887",74.06,"1,352,725",11.16,N/A,
7,카카오,"106,500","2,500",+2.40%,100,"475,121","446,123",28.50,"3,491,520",41.93,2.70,
8,현대차,"168,500",500,+0.30%,"5,000","360,031","213,668",26.37,"937,009",9.44,6.84,
9,삼성SDI,"508,000","10,000",+2.01%,"5,000","349,324","68,765",43.33,"367,814",30.56,8.45,
10,LG화학,"470,000","28,000",+6.33%,"5,000","331,784","70,592",48.25,"699,055",10.03,18.47,
11,기아,"72,400",300,+0.42%,"5,000","293,483","405,363",34.68,"1,548,006",6.16,14.69,
12,셀트리온,"185,500","4,500",+2.49%,"1,000","255,908","137,956",20.18,"730,500",45.34,15.81,
13,카카오뱅크,"52,100",500,-0.95%,"5,000","247,558","475,159",16.34,"1,240,219",111.56,4.91,
14,POSCO홀딩스,"283,500",500,+0.18%,"5,000","247,175","87,187",53.10,"224,244",3.74,13.97,
15,KB금융,"57,900","1,000",+1.76%,"5,000","238,752","412,352",72.26,"2,615,102",5.53,8.53,
16,삼성물산,"115,500",500,+0.43%,100,"215,855","186,887",15.92,"267,683",13.32,5.40,
17,LG전자,"126,000","1,000",+0.80%,"5,000","206,196","163,648",28.46,"1,032,781",18.18,13.23,
18,현대모비스,"210,000","2,000",+0.96%,"5,000","198,603","94,573",34.27,"217,452",8.46,6.87,
19,신한지주,"38,300",400,+1.06%,"5,000","197,858","516,600",62.04,"1,502,503",5.08,8.20,
20,카카오페이,"142,500","1,000",+0.71%,500,"188,341","132,169",42.49,"191,960",-708.96,-17.97,
21,SK이노베이션,"201,000","2,000",+1.01%,"5,000","185,856","92,466",23.18,"307,557",61.85,1.91,
22,SK,"235,500","1,000",+0.43%,200,"174,622","74,149",21.54,"117,906",8.52,10.19,
23,HMM,"32,550",550,+1.72%,"5,000","159,182","489,039",11.98,"5,039,669",4.10,8.93,
24,한국전력,"24,250",400,-1.62%,"5,000","155,676","641,964",14.96,"2,851,646",-2.93,-7.99,
25,하나금융지주,"47,800",600,+1.27%,"5,000","143,516","300,242",70.89,"1,125,327",4.07,10.86,
26,크래프톤,"284,000","2,500",+0.89%,100,"139,365","49,072",29.49,"197,586",24.82,17.86,
27,두산중공업,"22,600",0,0.00%,"5,000","136,759","605,128",8.34,"7,074,189",68.07,-37.20,
28,LG생활건강,"863,000","25,000",+2.98%,"5,000","134,785","15,618",41.14,"97,652",18.11,16.65,
29,SK텔레콤,"57,200",800,-1.38%,100,"125,173","218,833",45.64,"614,316",8.36,13.63,
30,삼성생명,"62,300","1,100",+1.80%,500,"124,600","200,000",12.64,"349,300",8.48,4.01,
31,삼성전기,"160,000","4,500",+2.89%,"5,000","119,510","74,694",29.20,"824,399",13.91,14.29,
32,LG,"73,800","1,300",+1.79%,"5,000","116,088","157,301",36.36,"257,372",4.87,7.50,
33,하이브,"280,000","7,000",+2.56%,500,"115,789","41,353",15.00,"218,265",77.65,6.83,
34,KT&G,"81,200",300,-0.37%,"5,000","111,482","137,292",36.99,"341,495",9.36,13.22,
35,삼성에스디에스,"139,500",500,-0.36%,500,"107,942","77,378",11.44,"122,080",17.66,8.80,
36,고려아연,"572,000",0,0.00%,"5,000","107,936","18,870",19.31,"60,985",13.38,11.07,
37,우리금융지주,"14,650",150,+1.03%,"5,000","106,661","728,061",34.44,"3,459,271",4.48,5.87,
38,SK바이오사이언스,"138,000",500,+0.36%,500,"105,570","76,500",5.09,"414,278",53.14,13.25,
39,대한항공,"30,350",0,0.00%,"5,000","105,564","347,821",12.44,"2,625,927",15.93,11.60,
40,엔씨소프트,"467,000","27,000",+6.14%,500,"102,525","21,954",42.76,"268,492",28.83,20.83,
41,현대중공업,"108,000","2,000",-1.82%,"5,000","95,875","88,773",2.89,"757,643",-10.13,-14.87,
42,S-Oil,"84,900",100,-0.12%,"2,500","95,583","112,583",78.24,"370,927",7.18,21.76,
43,넷마블,"109,000",0,0.00%,100,"93,689","85,954",22.89,"201,169",40.31,6.35,
44,아모레퍼시픽,"154,000","1,000",-0.65%,500,"90,079","58,493",29.11,"770,174",59.39,0.78,
45,LG이노텍,"370,000","7,500",+2.07%,"5,000","87,568","23,667",23.81,"412,627",9.86,30.94,
46,삼성화재,"184,500",0,0.00%,500,"87,407","47,375",48.36,"85,645",8.31,7.09,
47,KT,"32,550",500,-1.51%,"5,000","84,992","261,112",40.07,"778,881",6.26,9.36,
48,포스코케미칼,"106,500","8,500",+8.67%,500,"82,498","77,463",6.02,"723,360",60.41,7.92,
49,SK아이이테크놀로지,"115,000","5,000",+4.55%,"1,000","81,992","71,298",9.60,"364,574",82.56,5.57,
50,기업은행,"10,600",50,+0.47%,"5,000","78,896","744,301",14.05,"2,166,519",3.50,9.21,
